,Produit,Sous_Produit,Origine,PU_moy,PU_min,PU_max,PU_med
32701,4817100000,Enveloppes en papier ou carton,Malaisie,1285.86,843.3846153846154,1806.9925925925927,1207.1881188118812
32702,6305900000,Sacs et sachets d'emballage d'autres matières t,Malaisie,925.74,712.8181818181819,1210.2941176470588,854.1034482758621
32703,6405909000,"Autres chaussures importées, du n° 64.05, aut",Senegal,7916.67,7916.666666666667,7916.666666666667,7916.666666666667
32704,8483600000,"Embrayages et organes d'accouplement, y compris",Royaume-Uni,32994.35,10764.945945945947,44892.0625,43326.045454545456
32705,8507600000,"ion,y com",Canada,4182.06,4182.06,4182.06,4182.06
32708,4911100000,"Imprimés publicitaires, catalogues commerciaux",Malaisie,904.95,669.3577235772358,1205.857142857143,839.6271186440678
32709,8529900000,"Autres parties du N° 85.29, reconnaissables com",Pologne,64734.75,64734.75,64734.75,64734.75
32712,8543900000,"Parties des machines et appareils électriques,",Etats-Unis,45570.56,24622.0,66519.125,45570.5625
32714,8543700000,Autres machines et appareils électriques ayant,Etats-Unis,390233.90,14070.0,1940701.0,61944.80465949821
32715,8471900000,"Lecteurs magnétiques ou optiques, machines de m",Etats-Unis,94338.34,21554.666666666668,181366.35714285713,80094.0
32716,1209910000,Graines de légumes à ensemencer,Vietnam,41862.13,10850.679738562092,72873.5838150289,41862.1317767955
32721,9024800000,"Machines et appareils d'essais de dureté, de tr",Thailande,120940.57,120940.56666666667,120940.56666666667,120940.56666666667
32722,9024900000,Parties et accessoires des machines et appareils,Thailande,18638.10,18638.1,18638.1,18638.1
32737,8424490000,"Pulvérisateurs, autres que portables, pour l'a",PLUSIEURS,138940.55,931.7571770334928,460919.1666666667,46955.64215686274
32744,8481900000,Parties des articles de robineterie et organes s,Espagne,15885.29,2361.663349917081,24303.2,20991.0
32756,8716909000,"Parties des autres véhicules non automobiles,",PLUSIEURS,13491.33,335.30031282586026,47885.0,8855.5
32853,8408100000,"Moteurs à piston, à allumage par compression (",Etats-Unis,5932.96,386.66776470588235,11479.2475,5932.957632352941
32863,8506800000,"Autres piles et batteries de piles électriques,",Espagne,15211.71,1123.995983935743,29299.428571428572,15211.712277682158
32874,3004600000,"Autres médicaments, contenant des principes act",Inde,42576.43,2505.1988248155235,91899.75555555556,33324.34672021419
32876,2103909900,Autres préparations pour sauces et autres sau,Inde,4067.96,1627.0266808964782,6508.883333333333,4067.9550071149056
